"Week","Trait","p_value","t_value","mean_saline","mean_control"
"Week 3","ECSt.mAU",0.0359448121702911,2.19925514754847,0.000196212871287129,0.000234285714285714
"Week 3","FmPrime",6.82752322293308e-05,-4.6012997710177,4645.98160756501,4322.73233333333
"Week 3","FoPrime",0.0850841900251139,-1.77964571398676,1139.32231404959,1096.24137931034
"Week 3","FvP_over_FmP",0.0184082461808569,-2.47934991633445,0.754104144525643,0.736776767676768
"Week 3","gH.",0.986882194569275,-0.0165985540923202,177.272742934051,176.794076923077
"Week 3","NPQt",0.0206151806390965,2.42808544919356,0.599828251767384,0.768182352941176
"Week 3","Phi2",8.34035787522073e-07,-6.05318868792055,0.6130791368884,0.564448387096774
"Week 3","PhiNO",0.0150465286980952,2.55789265225821,0.245020574941043,0.261560606060606
"Week 3","PhiNPQ",0.00739084522661043,2.85305771107,0.142686170571666,0.168274895833333
"Week 3","PS1.Active.Centers",0.302184534102123,-1.0504827361671,1.0620024691358,0.558551724137931
"Week 3","PS1.Open.Centers",0.0532017644661675,-2.02913292429368,0.314432114882507,0.150173913043478
"Week 3","PS1.Over.Reduced.Centers",0.253713021245649,1.16947320283518,0.320627700127065,0.60025
"Week 3","PS1.Oxidized.Centers",0.770401492120136,-0.294975014441293,0.281596858638743,0.24464
"Week 3","qL",1.69146015344062e-06,-5.69370261258561,0.525197045983063,0.441267676767677
"Week 3","SPAD",3.61708853640869e-05,-4.74452982296113,46.6274296031607,42.6547050505051
"Week 3","vH.",0.778386703838793,-0.284748895457149,0.0324892761394102,0.0314545454545455
"Week 6","ECSt.mAU",0.775284361080922,-0.288261332854613,0.000283128019323672,0.000276061728395062
"Week 6","FmPrime",0.00357137738131726,-3.15838439986525,4189.37368200837,3973.09206896552
"Week 6","FoPrime",3.79192999662972e-05,-4.84403176580729,1218.48633257403,1029.11111111111
"Week 6","FvP_over_FmP",0.0599132765989437,1.95065394344471,0.702552222627441,0.722403225806452
"Week 6","gH.",0.659694441643551,0.444650268008418,117.305129912664,124.274620689655
"Week 6","NPQt",6.203829745379e-05,-4.61192236598565,1.0585903482847,0.738937140229885
"Week 6","Phi2",0.00254823421606791,3.2599187094181,0.561097234297417,0.594488172043011
"Week 6","PhiNO",0.463376945297727,0.742273986758316,0.221609725965282,0.228146666666667
"Week 6","PhiNPQ",0.00373351581086712,-3.1400574568145,0.222946623791967,0.180096551724138
"Week 6","PS1.Active.Centers",0.324812632244623,1.00104334940902,0.51188995215311,0.861857142857143
"Week 6","PS1.Open.Centers",0.801858353008341,0.253807940438331,0.227019417475728,0.257608695652174
"Week 6","PS1.Over.Reduced.Centers",0.472768662851265,-0.728491090974109,0.614411280846063,0.423884615384615
"Week 6","PS1.Oxidized.Centers",0.224787206878488,1.24683681420273,0.125930693069307,0.295217391304348
"Week 6","qL",0.232673047605071,1.21420622874295,0.512558286078557,0.540100101010101
"Week 6","SPAD",0.000273792154590785,-4.12057168551718,42.0302294691756,37.2851103448276
"Week 6","vH.",0.0726498094354675,1.85847667998548,0.0300330760749724,0.0364333333333333
