"Week","Trait","Treatment","n","min","max","mean","sd"
"Week 2","ECSt.mAU","Control",33,0.00014,0.00043,0.000222060606060606,6.61352493918426e-05
"Week 2","ECSt.mAU","Saline",677,5e-05,0.00046,0.000241174298375185,7.05650423115969e-05
"Week 2","FmPrime","Control",30,3436.38,4194.31,3813.20233333333,186.549741165327
"Week 2","FmPrime","Saline",704,3011.54,4819.85,3889.00676846591,346.824800397961
"Week 2","FoPrime","Control",29,707,951,781.137931034483,52.4593203879587
"Week 2","FoPrime","Saline",707,650,1555,909.276520509194,151.269384262221
"Week 2","FvP_over_FmP","Control",31,0.761,0.814,0.794051612903226,0.0129358383562294
"Week 2","FvP_over_FmP","Saline",711,0.646,0.819,0.765800836531661,0.0302062874362688
"Week 2","NPQt","Control",34,-0.47,0.532,0.216726470618941,0.204594732131297
"Week 2","NPQt","Saline",712,1.044e-09,1.675,0.502083191496737,0.263895550004515
"Week 2","PS1.Active.Centers","Control",26,-1.598,1.292,0.3345,0.756726330981022
"Week 2","PS1.Active.Centers","Saline",646,-1.695,4.119,1.21345123839009,0.953098865605567
"Week 2","PS1.Open.Centers","Control",26,-0.774,1.821,0.449384615384615,0.639748017702162
"Week 2","PS1.Open.Centers","Saline",632,-1.091,1.907,0.409555379746835,0.586283342577638
"Week 2","PS1.Over.Reduced.Centers","Control",22,-1.402,2.05,0.239,1.00424726607971
"Week 2","PS1.Over.Reduced.Centers","Saline",603,-1.666,2.063,0.168737976782753,0.76443316578411
"Week 2","PS1.Oxidized.Centers","Control",22,-0.691,1.139,0.212954545454545,0.556512052432079
"Week 2","PS1.Oxidized.Centers","Saline",591,-0.839,1.527,0.313625211505922,0.420794549560203
"Week 2","Phi2","Control",33,0.515,0.666,0.633148484848485,0.0345034791833748
"Week 2","Phi2","Saline",687,0.478,0.754,0.630932011159631,0.0489368375423395
"Week 2","PhiNO","Control",31,0.255,0.316,0.288360215053763,0.0152948851759274
"Week 2","PhiNO","Saline",709,0.132,0.414,0.257367158925199,0.0552471761952669
"Week 2","PhiNPQ","Control",32,0.0005441,0.168,0.0748930447916667,0.033036335207034
"Week 2","PhiNPQ","Saline",708,0.0005441,0.325,0.117939164238405,0.0452063426365063
