"Week","Trait","Treatment","n","min","max","mean","sd"
"Week 2","SPAD","Control",31,29.589,47.736,36.0100408602151,4.53122909822988
"Week 2","SPAD","Saline",709,30.773,58.282,43.3409737196497,3.97674896168019
"Week 2","gH.","Control",25,105.72,472.195,285.9774,90.0570416953425
"Week 2","gH.","Saline",669,0.001,518.951,202.310544095665,113.053295404991
"Week 2","qL","Control",33,0.179,0.527,0.437921212121212,0.0752867342131723
"Week 2","qL","Saline",702,0.132,1.025,0.525988894723711,0.175351207020672
"Week 2","vH.","Control",26,0.023,0.094,0.0633846153846154,0.0202486086891459
"Week 2","vH.","Saline",659,0,0.113,0.0472511380880121,0.0247259657841943
"Week 5","ECSt.mAU","Control",28,6e-05,0.00035,0.00016247619047619,7.89238017983157e-05
"Week 5","ECSt.mAU","Saline",630,5e-05,0.00046,0.000231365079365079,8.07715775828615e-05
"Week 5","FmPrime","Control",29,3049.93,4715.91,3636.60551724138,422.706087265525
"Week 5","FmPrime","Saline",689,2991.3,4865.61,3976.09808417997,342.734500288758
"Week 5","FoPrime","Control",28,698,1447,880.035714285714,158.267350495307
"Week 5","FoPrime","Saline",654,661,1609,1107.52599388379,195.492408715522
"Week 5","FvP_over_FmP","Control",28,0.722,0.803,0.760584523809524,0.0252935611809291
"Week 5","FvP_over_FmP","Saline",675,0.615,0.802,0.716904693450513,0.0406267775381171
"Week 5","NPQt","Control",29,0.001492,0.883,0.526390528735632,0.232227022055723
"Week 5","NPQt","Saline",652,0.001492,1.82,0.912053835516967,0.358894705944938
"Week 5","PS1.Active.Centers","Control",25,-1.323,4.08,0.78588,1.36834636575199
"Week 5","PS1.Active.Centers","Saline",620,-1.734,4.265,1.48974032258065,1.1753130069408
"Week 5","PS1.Open.Centers","Control",26,-1.016,1.575,0.171307692307692,0.549634916593243
"Week 5","PS1.Open.Centers","Saline",654,-1.076,1.906,0.334252293577982,0.497963966930073
"Week 5","PS1.Over.Reduced.Centers","Control",23,-1.251,1.652,0.429434782608696,0.851982758366247
"Week 5","PS1.Over.Reduced.Centers","Saline",614,-1.631,2.068,0.329161237785016,0.689660181869222
"Week 5","PS1.Oxidized.Centers","Control",23,-0.843,0.904,0.151521739130435,0.464290550641535
"Week 5","PS1.Oxidized.Centers","Saline",597,-0.882,1.515,0.254195979899497,0.422161846072231
"Week 5","Phi2","Control",27,0.518,0.718,0.649940740740741,0.0420598772745865
"Week 5","Phi2","Saline",643,0.47,0.74,0.605785607278734,0.0569804667704626
"Week 5","PhiNO","Control",30,0.146,0.401,0.23313,0.0527065732339807
"Week 5","PhiNO","Saline",707,0.112,0.386,0.211182984920768,0.0477532485345821
"Week 5","PhiNPQ","Control",28,0.047,0.2707,0.134560714285714,0.054136688041138
"Week 5","PhiNPQ","Saline",657,0.053,0.324,0.186583147589196,0.0573661824076265
"Week 5","SPAD","Control",30,29.953,53.305,40.8883677777778,6.02734101191452
"Week 5","SPAD","Saline",690,29.995,60.799,48.0601518852862,5.87543259562076
"Week 5","gH.","Control",20,18.697,503.187,234.64205,142.71321027316
"Week 5","gH.","Saline",654,-170.969,517.862,126.439094801223,100.273496308541
"Week 5","qL","Control",31,0.183,0.751,0.555469892473118,0.138022495309531
"Week 5","qL","Saline",701,0.115,1.02,0.600327850850681,0.169965017063689
"Week 5","vH.","Control",23,0.015,0.109,0.0493478260869565,0.0262792844368684
"Week 5","vH.","Saline",668,-0.02,0.112,0.0297619760479042,0.0203131095619894
