"Week","Trait","p_value","t_value","mean_saline","mean_control"
"Week 2","ECSt.mAU",0.114912497246708,-1.61599822221162,0.000241174298375185,0.000222060606060606
"Week 2","FmPrime",0.0445006380507062,-2.07789492580291,3889.00676846591,3813.20233333333
"Week 2","FoPrime",1.79617998276246e-15,-11.3587775487243,909.276520509194,781.137931034483
"Week 2","FvP_over_FmP",2.33331892942755e-14,10.9295526157852,0.765800836531661,0.794051612903226
"Week 2","gH.",0.000113110021746658,4.51419440102212,202.310544095665,285.9774
"Week 2","NPQt",1.77621996540269e-09,-7.82767125507383,0.502083191496737,0.216726470618941
"Week 2","Phi2",0.726467243110178,0.352392766391607,0.630932011159631,0.633148484848485
"Week 2","PhiNO",1.84191667698003e-13,9.00289783462624,0.257367158925199,0.288360215053763
"Week 2","PhiNPQ",2.42441599361957e-08,-7.07743740009175,0.117939164238405,0.0748930447916667
"Week 2","PS1.Active.Centers",3.5380492071175e-06,-5.74213061955889,1.21345123839009,0.3345
"Week 2","PS1.Open.Centers",0.757378354217053,0.312107254861121,0.409555379746835,0.449384615384615
"Week 2","PS1.Over.Reduced.Centers",0.748452733048123,0.324749662803403,0.168737976782753,0.239
"Week 2","PS1.Oxidized.Centers",0.410209787082489,-0.839588971497281,0.313625211505922,0.212954545454545
"Week 2","qL",2.1657293387708e-07,-5.99834532381565,0.525988894723711,0.437921212121212
"Week 2","SPAD",3.9580524383813e-10,-8.85995544698794,43.3409737196497,36.0100408602151
"Week 2","vH.",0.000482080511270789,3.94826418454008,0.0472511380880121,0.0633846153846154
"Week 5","ECSt.mAU",9.38789593181898e-05,-4.51481782673453,0.000231365079365079,0.00016247619047619
"Week 5","FmPrime",0.000187127506505983,-4.26642206146949,3976.09808417997,3636.60551724138
"Week 5","FoPrime",2.89180380807502e-08,-7.36902692527488,1107.52599388379,880.035714285714
"Week 5","FvP_over_FmP",4.78923502157001e-10,8.68505414671422,0.716904693450513,0.760584523809524
"Week 5","gH.",0.00314693072524403,3.36539566575722,126.439094801223,234.64205
"Week 5","NPQt",5.8811247300363e-10,-8.50298245776479,0.912053835516967,0.526390528735632
"Week 5","Phi2",1.11350660959926e-05,5.25622213277224,0.605785607278734,0.649940740740741
"Week 5","PhiNO",0.0322439364732506,2.24200402672783,0.211182984920768,0.23313
"Week 5","PhiNPQ",2.63064890678235e-05,-4.96738177418975,0.186583147589196,0.134560714285714
"Week 5","PS1.Active.Centers",0.017770604887155,-2.53451512237979,1.48974032258065,0.78588
"Week 5","PS1.Open.Centers",0.148596877093901,-1.48757735966145,0.334252293577982,0.171307692307692
"Week 5","PS1.Over.Reduced.Centers",0.582456163695534,0.557639975878968,0.329161237785016,0.429434782608696
"Week 5","PS1.Oxidized.Centers",0.307112259039977,-1.04406357435811,0.254195979899497,0.151521739130435
"Week 5","qL",0.0887907102097728,-1.75176591832622,0.600327850850681,0.555469892473118
"Week 5","SPAD",3.85107064891837e-07,-6.38662117355246,48.0601518852862,40.8883677777778
"Week 5","vH.",0.00176421517668262,3.5381071138726,0.0297619760479042,0.0493478260869565
