"Week","Trait","p_value","t_value","mean_saline","mean_control"
"Week 3","ARI1",0.747920699726018,0.322786446702815,-0.000360364365547827,-0.000321084010712803
"Week 3","ARI2",0.748803570309382,0.3216042858542,-0.0198739178714647,-0.0178073659175441
"Week 3","CCI",2.82230503276754e-11,-8.08549101986365,20.3586206401848,14.4407431639872
"Week 3","CPHLT",0.45852395134261,0.745842066747499,25.2657691639416,25.4512746588389
"Week 3","CRI1",0.000587809362336218,3.62375629237552,0.0282755193742747,0.0316143224385155
"Week 3","CRI2",0.00038150342548124,3.75345596318183,0.0279583386375115,0.0315493454879668
"Week 3","NDVI",0.050807946668086,1.99125597594163,0.662038678944208,0.669022396589294
"Week 3","WBI",0.0410527733180987,-2.08682448422167,0.983543182705849,0.980397257879414
"Week 6","ARI1",1.33719252443806e-10,-9.13457820135154,0.000548779484287681,-0.000725191454250166
"Week 6","ARI2",1.53786080631198e-10,-8.96198135525779,0.0306084732370819,-0.0374161212630844
"Week 6","CCI",1.16492863553152e-17,-13.6722984034428,26.1960842282638,14.8121460576668
"Week 6","CPHLT",0.961430850816006,0.0487460549730637,25.4779498713382,25.4949627995491
"Week 6","CRI1",0.148953242727063,1.48270545093767,0.0278812152503816,0.0298153355908858
"Week 6","CRI2",0.63196693220548,0.48381959490564,0.0284583502821516,0.0292151090743287
"Week 6","NDVI",0.295755197307508,1.06325193072357,0.659998288005457,0.665506385602025
"Week 6","WBI",1.60144104742571e-08,-7.57034462362958,0.986011101648801,0.974914287198124
