"Genotype","Run","Treatment","Composite_Week3","Composite_Week6","Composite_Score_Weighted"
"CN 101753","Run1","Saline",-0.115283362023187,-0.0532782605340867,-0.078080301129727
"CN 35811","Run1","Saline",-0.0677236443645817,-0.0859658676031669,-0.0786689783077328
"CN 105217","Run1","Saline",-0.319086553358276,0.0803722568020545,-0.0794112672620776
"CN 105200","Run1","Saline",-0.102475804469323,-0.0666238315447141,-0.0809646207145576
"CN 101720","Run1","Saline",-0.194591759304846,-0.0101787845740367,-0.0839439744663603
"CN 105229","Run1","Saline",-0.211958389518589,0.00119461427338454,-0.0840665872434047
"CN 101704","Run1","Saline",0.00805793490131392,-0.146069241523182,-0.0844183709533834
"CN 105241","Run1","Saline",0.0953924912554414,-0.204334961050931,-0.0844439801283819
"CN 105204","Run1","Saline",0.209055655527217,-0.283276959269871,-0.0863439133510354
"CN 33999","Run1","Saline",NA,-0.0894726581380671,-0.0894726581380671
"CN 101827","Run1","Saline",0.101025345144846,-0.217176382955557,-0.0898956917153957
"CN 105234","Run1","Saline",-0.127118433362094,-0.0651095743138278,-0.0899131179331344
"CN 101810","Run1","Saline",-0.120311942595894,-0.0724074007297995,-0.0915692174762371
"CN 101731","Run1","Saline",0.050728593636703,-0.186905723469809,-0.091851996627204
"CN 39630","Run1","Saline",0.275007462484139,-0.339528755405281,-0.0937142682495129
"CN 39631","Run1","Saline",-0.00687532287991471,-0.152774013323799,-0.0944145371462451
"CN 36100","Run1","Saline",NA,-0.0969225484738968,-0.0969225484738968
"CN 101806","Run1","Saline",-0.0914657905918011,-0.101965343067276,-0.0977655220770858
"CN 105242","Run1","Saline",-0.226060637518391,-0.013603869417162,-0.0985865766576536
"CN 34062","Run1","Saline",NA,-0.101097043085903,-0.101097043085903
"CN 101760","Run1","Saline",-0.0804637969958212,-0.116163474294285,-0.1018836033749
"CN 30465","Run1","Saline",NA,-0.104047436069767,-0.104047436069767
"CN 101795","Run1","Saline",0.0175185597429904,-0.186394607514967,-0.104829340611784
"CN 101796","Run1","Saline",-0.114992449339231,-0.0989681711068976,-0.105377882399831
"CN 105259","Run1","Saline",-0.106494321125422,-0.106741395744804,-0.106642565897051
"CN 101771","Run1","Saline",0.0471605601892002,-0.209900565417357,-0.107076115174734
"CN 101838","Run1","Saline",-0.164208598785508,-0.0710735199770814,-0.108327551500452
"CN 31978","Run1","Saline",NA,-0.113977651797827,-0.113977651797827
"CN 105211","Run1","Saline",0.0330258580413426,-0.215529897974268,-0.116107595568024
"CN 105208","Run1","Saline",-0.215333300074394,-0.0522009649078353,-0.117453898974459
"CN 105192","Run1","Saline",-0.226829599379853,-0.0469602373471602,-0.118907982160237
"CN 35808","Run1","Saline",0.0805075147550391,-0.254156247870417,-0.120290742820234
"CN 101778","Run1","Saline",-0.0542741418965312,-0.164560237922997,-0.120445799512411
"CN 105194","Run1","Saline",-0.171331354787876,-0.0936708977510149,-0.124735080565759
"CN 105263","Run1","Saline",-0.273473705212584,-0.030155670348558,-0.127482884294168
"CN 101763","Run1","Saline",0.0706897371073387,-0.261973116564413,-0.128907975095712
"CN 101724","Run1","Saline",-0.404505561776363,0.052625117924027,-0.130227153956129
"CN 105237","Run1","Saline",-0.165716977981128,-0.109916663595765,-0.13223678934991
"CN 105276","Run1","Saline",-0.0414221009277439,-0.198227781343276,-0.135505509177063
"CN 105256","Run1","Saline",0.134880927475252,-0.329214141509682,-0.143576113915708
"CN 105254","Run1","Saline",-0.170247215836656,-0.133697760759646,-0.14831754279045
"CN 105253","Run1","Saline",0.0775288574039699,-0.301207468433475,-0.149712938098497
"CN 101835","Run1","Saline",-0.0876407662040308,-0.192382534304926,-0.150485827064568
