"Week","Trait","p_value","t_value","mean_saline","mean_control"
"Week 3","ECSt.mAU",0.285466491442965,1.07678922505448,0.000216710437710438,0.000227672131147541
"Week 3","FmPrime",2.97811079435853e-05,-4.48043252807711,4302.16851935484,4067.96733333333
"Week 3","FoPrime",0.000277774845468542,-3.85697938013172,1034.66184041184,938.689655172414
"Week 3","FvP_over_FmP",0.333343664583312,0.974587452973424,0.759421502592318,0.764519270833333
"Week 3","gH.",0.0327499507288212,2.19257496450647,189.135553824363,230.31531372549
"Week 3","NPQt",0.225424231146186,-1.22313380367747,0.555387330367192,0.492454411780059
"Week 3","Phi2",0.00213008133931677,-3.19361020944632,0.621058918686927,0.599871875
"Week 3","PhiNO",1.01390368633085e-07,5.88888808085963,0.250614011391373,0.274541666666667
"Week 3","PhiNPQ",0.218953740469224,-1.24109696026485,0.131483561566584,0.1215839703125
"Week 3","PS1.Active.Centers",0.0122098776833323,-2.5894261135091,1.12919745879121,0.452636363636364
"Week 3","PS1.Open.Centers",0.546160158034153,-0.607522871229305,0.357434907010014,0.308938775510204
"Week 3","PS1.Over.Reduced.Centers",0.293589255865355,1.0621716467937,0.254735971223022,0.427478260869565
"Week 3","PS1.Oxidized.Centers",0.449702755731547,-0.762060285272472,0.295566420664207,0.229808510638298
"Week 3","qL",1.03874206521914e-12,-8.36869654943421,0.525554753715325,0.439594444444444
"Week 3","SPAD",3.67995393706934e-11,-7.9119001998864,45.1337775381547,39.4361958333333
"Week 3","vH.",0.0122956122158872,2.59752997848701,0.0394131672597865,0.04875
"Week 6","ECSt.mAU",0.0110714430178568,-2.62488040442384,0.000260761316872428,0.000218236363636364
"Week 6","FmPrime",2.42049998387439e-06,-5.20558114039737,4100.0442674772,3804.84879310345
"Week 6","FoPrime",2.30567319392251e-11,-8.16157535674489,1171.1181462141,953.218181818182
"Week 6","FvP_over_FmP",4.34698219026212e-06,5.03197778072065,0.70864908719986,0.740523163841808
"Week 6","gH.",0.00886113061365161,2.72394851015374,121.109978980892,169.322551020408
"Week 6","NPQt",6.33999989763274e-12,-8.34344045667629,0.996226244939685,0.632663834482759
"Week 6","Phi2",1.97713576937448e-06,5.23360169095308,0.580317718462625,0.620302298850575
"Week 6","PhiNO",0.0439751539352354,2.05484384370095,0.217192885990164,0.230638333333333
"Week 6","PhiNPQ",9.36261603576902e-07,-5.45285240166394,0.207443181958599,0.157728070175439
"Week 6","PS1.Active.Centers",0.651632718514985,-0.453853661767702,0.92828228021978,0.826018867924528
"Week 6","PS1.Open.Centers",0.44043797653387,-0.777488312711496,0.274468876860622,0.211816326530612
"Week 6","PS1.Over.Reduced.Centers",0.673004373094864,-0.42449124095165,0.494859385665529,0.426489795918367
"Week 6","PS1.Oxidized.Centers",0.610589254405201,0.512569282446712,0.180432028469751,0.223369565217391
"Week 6","qL",0.847447077857677,-0.193077143851607,0.550821013009688,0.54754484375
"Week 6","SPAD",1.13401767753547e-08,-6.56258731491124,44.5969453649907,39.1172751412429
"Week 6","vH.",0.000364451186148984,3.80200795295734,0.0299180952380952,0.0420377358490566
