"Trait","H2","Sigma_G","vdelta_BLUE"
"ARI1",0.65849420323614,4.28788595990677e-07,4.44753470561808e-07
"ARI2",0.672186381387295,0.00134289673015058,0.00130981480352303
"CCI",0.325517288759336,7.3406220038501,30.4200286886156
"CPHLT",0.333246897099114,0.431174813018052,1.72537027036139
"CRI1",0.429641247522949,6.87921152000047e-06,1.82646267005062e-05
"CRI2",0.482808133750917,9.35142194026947e-06,2.00347882617311e-05
"NDVI",0.518221804645641,0.000184653441699374,0.000343335618495358
"WBI",0.64679777622681,4.23907948191511e-05,4.6297385513542e-05
